"SEQN","Gender_discrete","Age_continuous","Race_discrete","Education_discrete","WTINT2YR_continuous","WTMEC2YR_continuous","SDMVPSU_continuous","SDMVSTRA_continuous"
83732,"Male",62,"Non-Hispanic White","College graduate or above",134671.370419,135629.507405,1,125
83733,"Male",53,"Non-Hispanic White","High school graduate/GED or equivalent",24328.560239,25282.425927,1,125
83734,"Male",78,"Non-Hispanic White","High school graduate/GED or equivalent",12400.008522,12575.838818,1,131
83735,"Female",56,"Non-Hispanic White","College graduate or above",102717.995647,102078.634508,1,131
83736,"Female",42,"Non-Hispanic Black","Some college or AA degree",17627.674984,18234.736219,2,126
83737,"Female",72,"Mexican American","9-11th grade (Includes 12th grade with no diploma)",11252.311968,10878.684022,1,128
83738,"Female",11,"Mexican American",NA,9964.725426,9860.624532,1,120
83739,"Male",4,"Non-Hispanic White",NA,44749.889547,46173.307234,2,124
83740,"Male",1,"Other Hispanic",NA,9891.944044,10963.31371,1,119
83741,"Male",22,"Non-Hispanic Black","Some college or AA degree",37043.087007,39353.307397,2,128
83742,"Female",32,"Mexican American","Some college or AA degree",22744.355082,23557.163453,1,125
83743,"Male",18,"Other Race - Including Multi-Racial",NA,18526.159589,18249.325929,2,122
83744,"Male",56,"Non-Hispanic Black","High school graduate/GED or equivalent",20395.53531,20068.662891,2,126
83745,"Female",15,"Non-Hispanic White",NA,24788.723062,25399.385035,2,126
83746,"Female",4,"Other Race - Including Multi-Racial",NA,10998.012047,11273.997898,2,129
83747,"Male",46,"Non-Hispanic White","College graduate or above",34513.077877,35673.964272,1,121
83748,"Male",3,"Non-Hispanic Black",NA,10988.317325,11184.295239,2,131
83749,"Female",17,"Non-Hispanic White",NA,60125.440997,63059.812938,2,131
83750,"Male",45,"Other Race - Including Multi-Racial","9-11th grade (Includes 12th grade with no diploma)",96194.928435,97001.987877,1,125
83751,"Female",16,"Mexican American",NA,14862.011194,14802.213772,1,128
83752,"Female",30,"Other Hispanic","Some college or AA degree",36978.419865,38680.531261,1,124
83753,"Male",15,"Non-Hispanic Black",NA,11836.753445,14181.702736,1,119
83754,"Female",67,"Other Hispanic","College graduate or above",10495.865944,10191.914345,1,128
83755,"Male",67,"Non-Hispanic Black","College graduate or above",14080.095558,13991.639152,1,126
83756,"Male",16,"Non-Hispanic White",NA,45738.157443,46918.697172,1,122
83757,"Female",57,"Other Hispanic","Less than 9th grade",11709.112101,12413.062527,1,120
83758,"Male",80,"Non-Hispanic White","College graduate or above",30375.765839,0,2,133
83759,"Female",19,"Mexican American",NA,18928.631028,19250.414038,2,121
83760,"Female",3,"Non-Hispanic Black",NA,8862.399321,8919.396129,2,126
83761,"Female",24,"Other Race - Including Multi-Racial","College graduate or above",15420.801307,18010.012692,1,119
83762,"Female",27,"Non-Hispanic Black","Some college or AA degree",38387.34103,43424.328288,1,132
83763,"Female",2,"Other Hispanic",NA,17174.314126,18158.809883,1,127
83764,"Male",14,"Non-Hispanic White",NA,69163.003117,70889.80172,2,120
83765,"Female",0,"Non-Hispanic White",NA,13932.170173,14073.383109,2,123
83766,"Female",10,"Non-Hispanic White",NA,48048.790838,47166.956028,1,126
83767,"Female",54,"Other Race - Including Multi-Racial","Some college or AA degree",21914.036865,23219.518074,2,122
83768,"Female",15,"Non-Hispanic White",NA,22414.372179,23022.326092,2,120
83769,"Male",49,"Other Race - Including Multi-Racial","9-11th grade (Includes 12th grade with no diploma)",26837.741442,28350.831746,1,132
